item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.73
buy_1_vol,14230700
buy_2,1.72
buy_2_vol,198200
buy_3,1.71
buy_3_vol,78300
buy_4,1.7
buy_4_vol,84100
buy_5,1.69
buy_5_vol,41400
最新,1.73
均价,1.69
涨幅,10.19
涨跌,0.16
总手,469192
金额,79072442.55
换手,3.27
量比,1.8
最高,1.73
最低,1.62
今开,1.65
昨收,1.57
涨停,1.73
跌停,1.41
外盘,254145
内盘,215047
