item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,3.31
sell_2_vol,164100
sell_1,3.3
sell_1_vol,115400
buy_1,3.29
buy_1_vol,6400
buy_2,3.28
buy_2_vol,18400
buy_3,3.27
buy_3_vol,39800
buy_4,3.26
buy_4_vol,49900
buy_5,3.25
buy_5_vol,23700
最新,3.3
均价,3.28
涨幅,4.76
涨跌,0.15
总手,55550
金额,18245261.94
换手,1.27
量比,0.76
最高,3.31
最低,3.22
今开,3.23
昨收,3.15
涨停,3.31
跌停,2.99
外盘,32248
内盘,23302
