item,value
sell_5,2.71
sell_5_vol,157800
sell_4,2.7
sell_4_vol,270300
sell_3,2.69
sell_3_vol,62700
sell_2,2.68
sell_2_vol,219600
sell_1,2.67
sell_1_vol,5666700
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,2.67
均价,2.7
涨幅,-4.98
涨跌,-0.14
总手,763019
金额,206151954.0
换手,10.73
量比,1.05
最高,2.8
最低,2.67
今开,2.67
昨收,2.81
涨停,2.95
跌停,2.67
外盘,311180
内盘,451839
