item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.68
buy_1_vol,1912100
buy_2,1.67
buy_2_vol,261000
buy_3,1.66
buy_3_vol,345100
buy_4,1.65
buy_4_vol,258900
buy_5,1.64
buy_5_vol,425000
最新,1.68
均价,1.63
涨幅,9.8
涨跌,0.15
总手,409259
金额,66573784.0
换手,1.72
量比,1.66
最高,1.68
最低,1.54
今开,1.56
昨收,1.53
涨停,1.68
跌停,1.38
外盘,215958
内盘,193301
