item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,18.96
buy_1_vol,2862400
buy_2,18.95
buy_2_vol,5400
buy_3,18.94
buy_3_vol,600
buy_4,18.93
buy_4_vol,300
buy_5,18.92
buy_5_vol,300
最新,18.96
均价,17.56
涨幅,9.98
涨跌,1.72
总手,1852994
金额,3254108688.73
换手,66.04
量比,1.84
最高,18.96
最低,16.2
今开,17.26
昨收,17.24
涨停,18.96
跌停,15.52
外盘,946803
内盘,906191
