item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,27.96
buy_1_vol,1420000
buy_2,27.95
buy_2_vol,113300
buy_3,27.94
buy_3_vol,10300
buy_4,27.9
buy_4_vol,57200
buy_5,27.89
buy_5_vol,23700
最新,27.96
均价,27.78
涨幅,9.99
涨跌,2.54
总手,9682
金额,26892866.0
换手,0.2
量比,0.46
最高,27.96
最低,26.96
今开,26.96
昨收,25.42
涨停,27.96
跌停,22.88
外盘,2267
内盘,7415
