item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,1.62
sell_2_vol,1031000
sell_1,1.61
sell_1_vol,756900
buy_1,1.6
buy_1_vol,11200
buy_2,1.59
buy_2_vol,217000
buy_3,1.58
buy_3_vol,622300
buy_4,1.57
buy_4_vol,271700
buy_5,1.56
buy_5_vol,243500
最新,1.61
均价,1.58
涨幅,4.55
涨跌,0.07
总手,147097
金额,23261185.51
换手,1.69
量比,0.73
最高,1.62
最低,1.54
今开,1.55
昨收,1.54
涨停,1.62
跌停,1.46
外盘,77487
内盘,69610
