item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.16
buy_1_vol,2518600
buy_2,1.15
buy_2_vol,286900
buy_3,1.14
buy_3_vol,623700
buy_4,1.13
buy_4_vol,363400
buy_5,1.12
buy_5_vol,564200
最新,1.16
均价,1.14
涨幅,5.45
涨跌,0.06
总手,168794
金额,19197823.76
换手,3.23
量比,0.52
最高,1.16
最低,1.09
今开,1.12
昨收,1.1
涨停,1.16
跌停,1.05
外盘,116080
内盘,52714
