item,value
sell_5,24.08
sell_5_vol,400
sell_4,24.0
sell_4_vol,10600
sell_3,23.98
sell_3_vol,8500
sell_2,23.97
sell_2_vol,700
sell_1,23.95
sell_1_vol,500
buy_1,23.94
buy_1_vol,1400
buy_2,23.93
buy_2_vol,3000
buy_3,23.86
buy_3_vol,3800
buy_4,23.85
buy_4_vol,45600
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,23.94
均价,24.46
涨幅,-4.66
涨跌,-1.17
总手,55535
金额,135819461.68
换手,3.61
量比,1.46
最高,25.35
最低,23.85
今开,24.66
昨收,25.11
涨停,26.37
跌停,23.85
外盘,23607
内盘,31927
