item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,27.3
buy_1_vol,2742300
buy_2,27.29
buy_2_vol,12600
buy_3,27.28
buy_3_vol,1700
buy_4,27.27
buy_4_vol,600
buy_5,27.25
buy_5_vol,2000
最新,27.3
均价,27.09
涨幅,20.0
涨跌,4.55
总手,235586
金额,638318508.08
换手,15.4
量比,2.01
最高,27.3
最低,26.0
今开,27.3
昨收,22.75
涨停,27.3
跌停,18.2
外盘,33852
内盘,201734
