item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,13.94
buy_1_vol,5553100
buy_2,13.93
buy_2_vol,700
buy_3,13.9
buy_3_vol,1700
buy_4,13.89
buy_4_vol,400
buy_5,13.8
buy_5_vol,9700
最新,13.94
均价,13.46
涨幅,10.02
涨跌,1.27
总手,45425
金额,61144597.2
换手,9.31
量比,2.0
最高,13.94
最低,12.98
今开,13.2
昨收,12.67
涨停,13.94
跌停,11.4
外盘,25863
内盘,19562
