item,value
sell_5,2.05
sell_5_vol,231500
sell_4,2.04
sell_4_vol,390900
sell_3,2.03
sell_3_vol,253100
sell_2,2.02
sell_2_vol,260400
sell_1,2.01
sell_1_vol,10383700
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,2.01
均价,2.05
涨幅,-5.19
涨跌,-0.11
总手,667266
金额,137050584.0
换手,3.85
量比,0.92
最高,2.14
最低,2.01
今开,2.09
昨收,2.12
涨停,2.23
跌停,2.01
外盘,238486
内盘,428780
