item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.92
buy_1_vol,2484300
buy_2,2.91
buy_2_vol,280400
buy_3,2.9
buy_3_vol,316500
buy_4,2.89
buy_4_vol,42900
buy_5,2.88
buy_5_vol,68600
最新,2.92
均价,2.88
涨幅,5.04
涨跌,0.14
总手,198764
金额,57264658.56
换手,6.69
量比,1.3
最高,2.92
最低,2.7
今开,2.76
昨收,2.78
涨停,2.92
跌停,2.64
外盘,63438
内盘,135327
