item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,53.99
buy_1_vol,637900
buy_2,53.98
buy_2_vol,5000
buy_3,53.71
buy_3_vol,500
buy_4,53.7
buy_4_vol,10600
buy_5,53.64
buy_5_vol,300
最新,53.99
均价,52.46
涨幅,10.0
涨跌,4.91
总手,38917
金额,204147660.0
换手,19.03
量比,1.66
最高,53.99
最低,48.91
今开,48.98
昨收,49.08
涨停,53.99
跌停,44.17
外盘,21871
内盘,17046
