item,value
sell_5,6.6
sell_5_vol,18400
sell_4,6.59
sell_4_vol,20800
sell_3,6.57
sell_3_vol,15500
sell_2,6.56
sell_2_vol,21100
sell_1,6.55
sell_1_vol,1795100
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,6.55
均价,6.75
涨幅,-4.93
涨跌,-0.34
总手,84814
金额,57263724.0
换手,5.16
量比,0.92
最高,6.97
最低,6.55
今开,6.8
昨收,6.89
涨停,7.23
跌停,6.55
外盘,33885
内盘,50929
