item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.52
buy_1_vol,161900
buy_2,1.51
buy_2_vol,71800
buy_3,1.5
buy_3_vol,34000
buy_4,1.49
buy_4_vol,91900
buy_5,1.48
buy_5_vol,113300
最新,1.52
均价,1.49
涨幅,4.83
涨跌,0.07
总手,93659
金额,13926140.0
换手,4.11
量比,1.31
最高,1.52
最低,1.43
今开,1.43
昨收,1.45
涨停,1.52
跌停,1.38
外盘,60120
内盘,33539
