item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,17.82
buy_1_vol,1446200
buy_2,17.81
buy_2_vol,126300
buy_3,17.8
buy_3_vol,37600
buy_4,17.79
buy_4_vol,10700
buy_5,17.78
buy_5_vol,5500
最新,17.82
均价,17.7
涨幅,10.0
涨跌,1.62
总手,86719
金额,153455498.0
换手,1.16
量比,1.87
最高,17.82
最低,17.3
今开,17.3
昨收,16.2
涨停,17.82
跌停,14.58
外盘,34405
内盘,52313
