item,value
sell_5,2.65
sell_5_vol,209800
sell_4,2.64
sell_4_vol,39000
sell_3,2.63
sell_3_vol,29700
sell_2,2.62
sell_2_vol,516800
sell_1,2.61
sell_1_vol,26704000
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,2.61
均价,2.69
涨幅,-10.0
涨跌,-0.29
总手,2098569
金额,563730008.52
换手,11.58
量比,3.04
最高,2.87
最低,2.61
今开,2.87
昨收,2.9
涨停,3.19
跌停,2.61
外盘,853995
内盘,1244574
