item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.0
buy_1_vol,1744100
buy_2,1.99
buy_2_vol,100500
buy_3,1.98
buy_3_vol,31200
buy_4,1.97
buy_4_vol,26700
buy_5,1.96
buy_5_vol,124300
最新,2.0
均价,1.92
涨幅,5.26
涨跌,0.1
总手,371013
金额,71125738.0
换手,5.42
量比,1.02
最高,2.0
最低,1.83
今开,1.9
昨收,1.9
涨停,2.0
跌停,1.81
外盘,203066
内盘,167947
