item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,15.08
buy_1_vol,6493300
buy_2,15.07
buy_2_vol,9600
buy_3,15.06
buy_3_vol,2200
buy_4,15.05
buy_4_vol,600
buy_5,15.04
buy_5_vol,7600
最新,15.08
均价,14.06
涨幅,19.97
涨跌,2.51
总手,827217
金额,1163135872.6
换手,19.11
量比,2.64
最高,15.08
最低,12.44
今开,12.59
昨收,12.57
涨停,15.08
跌停,10.06
外盘,450808
内盘,376409
