item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,16.83
buy_1_vol,2435100
buy_2,16.82
buy_2_vol,12000
buy_3,16.81
buy_3_vol,4600
buy_4,16.8
buy_4_vol,5200
buy_5,16.79
buy_5_vol,1700
最新,16.83
均价,15.98
涨幅,10.0
涨跌,1.53
总手,106573
金额,170307399.0
换手,8.2
量比,0.87
最高,16.83
最低,15.0
今开,15.35
昨收,15.3
涨停,16.83
跌停,13.77
外盘,42782
内盘,63791
