item,value
sell_5,3.01
sell_5_vol,31300
sell_4,3.0
sell_4_vol,137200
sell_3,2.99
sell_3_vol,129400
sell_2,2.98
sell_2_vol,107300
sell_1,2.97
sell_1_vol,74600
buy_1,2.96
buy_1_vol,101100
buy_2,2.95
buy_2_vol,43900
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,2.97
均价,3.02
涨幅,-4.5
涨跌,-0.14
总手,254217
金额,76783909.0
换手,5.79
量比,0.91
最高,3.12
最低,2.95
今开,3.09
昨收,3.11
涨停,3.27
跌停,2.95
外盘,92496
内盘,161721
