item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.57
buy_1_vol,4253100
buy_2,2.56
buy_2_vol,15200
buy_3,2.55
buy_3_vol,73800
buy_4,2.54
buy_4_vol,85200
buy_5,2.53
buy_5_vol,21000
最新,2.57
均价,2.5
涨幅,9.83
涨跌,0.23
总手,164169
金额,41094907.0
换手,3.08
量比,1.41
最高,2.57
最低,2.38
今开,2.39
昨收,2.34
涨停,2.57
跌停,2.11
外盘,105224
内盘,58945
