item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,13.39
buy_1_vol,2832300
buy_2,13.38
buy_2_vol,16400
buy_3,13.37
buy_3_vol,7100
buy_4,13.35
buy_4_vol,400
buy_5,13.34
buy_5_vol,3700
最新,13.39
均价,12.97
涨幅,10.02
涨跌,1.22
总手,316270
金额,410105055.0
换手,9.69
量比,1.69
最高,13.39
最低,12.3
今开,12.38
昨收,12.17
涨停,13.39
跌停,10.95
外盘,172182
内盘,144087
