item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,10.2
buy_1_vol,1153100
buy_2,10.19
buy_2_vol,5000
buy_3,10.18
buy_3_vol,9500
buy_4,10.17
buy_4_vol,3500
buy_5,10.15
buy_5_vol,2300
最新,10.2
均价,9.94
涨幅,5.05
涨跌,0.49
总手,231764
金额,230463710.2
换手,22.89
量比,10.43
最高,10.2
最低,9.35
今开,10.2
昨收,9.71
涨停,10.2
跌停,9.22
外盘,107197
内盘,124567
