item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,11.77
buy_1_vol,1392400
buy_2,11.76
buy_2_vol,76500
buy_3,11.75
buy_3_vol,100
buy_4,11.74
buy_4_vol,9700
buy_5,11.72
buy_5_vol,6800
最新,11.77
均价,11.35
涨幅,10.0
涨跌,1.07
总手,67975
金额,77168711.0
换手,2.95
量比,1.82
最高,11.77
最低,10.9
今开,11.05
昨收,10.7
涨停,11.77
跌停,9.63
外盘,37560
内盘,30415
