item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,23.34
buy_1_vol,4469500
buy_2,23.33
buy_2_vol,3600
buy_3,23.32
buy_3_vol,1000
buy_4,23.31
buy_4_vol,200
buy_5,23.28
buy_5_vol,300
最新,23.34
均价,21.74
涨幅,9.99
涨跌,2.12
总手,708445
金额,1539864660.33
换手,28.7
量比,2.33
最高,23.34
最低,19.9
今开,20.83
昨收,21.22
涨停,23.34
跌停,19.1
外盘,355132
内盘,353313
