item,value
sell_5,1.86
sell_5_vol,154500
sell_4,1.85
sell_4_vol,177800
sell_3,1.84
sell_3_vol,209500
sell_2,1.83
sell_2_vol,176100
sell_1,1.82
sell_1_vol,397000
buy_1,1.81
buy_1_vol,1220500
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,1.82
均价,1.86
涨幅,-4.71
涨跌,-0.09
总手,461396
金额,85764150.87
换手,5.67
量比,0.92
最高,1.92
最低,1.81
今开,1.9
昨收,1.91
涨停,2.01
跌停,1.81
外盘,159729
内盘,301667
