item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,19.25
buy_1_vol,243300
buy_2,19.24
buy_2_vol,400
buy_3,19.2
buy_3_vol,300
buy_4,19.11
buy_4_vol,600
buy_5,19.1
buy_5_vol,500
最新,19.25
均价,18.83
涨幅,10.0
涨跌,1.75
总手,20765
金额,39099702.0
换手,1.0
量比,2.26
最高,19.25
最低,17.89
今开,17.98
昨收,17.5
涨停,19.25
跌停,15.75
外盘,9386
内盘,11379
