item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.49
buy_1_vol,8008200
buy_2,2.48
buy_2_vol,72300
buy_3,2.47
buy_3_vol,100300
buy_4,2.46
buy_4_vol,84500
buy_5,2.45
buy_5_vol,386500
最新,2.49
均价,2.46
涨幅,10.18
涨跌,0.23
总手,543179
金额,133415977.21
换手,3.46
量比,3.03
最高,2.49
最低,2.39
今开,2.41
昨收,2.26
涨停,2.49
跌停,2.03
外盘,318126
内盘,225053
