item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.16
buy_1_vol,702600
buy_2,2.15
buy_2_vol,1000
buy_3,2.13
buy_3_vol,25300
buy_4,2.11
buy_4_vol,20000
buy_5,2.1
buy_5_vol,500
最新,2.16
均价,2.16
涨幅,4.85
涨跌,0.1
总手,26467
金额,5709100.96
换手,0.6
量比,0.43
最高,2.16
最低,2.11
今开,2.15
昨收,2.06
涨停,2.16
跌停,1.96
外盘,7891
内盘,18576
