item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,9.74
buy_1_vol,11654100
buy_2,9.73
buy_2_vol,92800
buy_3,9.72
buy_3_vol,9400
buy_4,9.71
buy_4_vol,17600
buy_5,9.7
buy_5_vol,23200
最新,9.74
均价,9.74
涨幅,10.06
涨跌,0.89
总手,39002
金额,37987948.0
换手,1.59
量比,0.7
最高,9.74
最低,9.74
今开,9.74
昨收,8.85
涨停,9.74
跌停,7.97
外盘,-
内盘,39002
