item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,5.5
buy_1_vol,2313200
buy_2,5.49
buy_2_vol,35100
buy_3,5.48
buy_3_vol,3500
buy_4,5.47
buy_4_vol,12200
buy_5,5.46
buy_5_vol,12700
最新,5.5
均价,5.3
涨幅,10.0
涨跌,0.5
总手,221969
金额,117682218.0
换手,4.0
量比,2.05
最高,5.5
最低,5.09
今开,5.1
昨收,5.0
涨停,5.5
跌停,4.5
外盘,132452
内盘,89517
