item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.39
buy_1_vol,631700
buy_2,2.38
buy_2_vol,64700
buy_3,2.37
buy_3_vol,79600
buy_4,2.35
buy_4_vol,37500
buy_5,2.34
buy_5_vol,63200
最新,2.39
均价,2.36
涨幅,4.82
涨跌,0.11
总手,51971
金额,12258079.0
换手,2.37
量比,0.89
最高,2.39
最低,2.28
今开,2.28
昨收,2.28
涨停,2.39
跌停,2.17
外盘,35418
内盘,16553
