item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,15.8
buy_1_vol,8424700
buy_2,15.79
buy_2_vol,124100
buy_3,15.78
buy_3_vol,10200
buy_4,15.77
buy_4_vol,4300
buy_5,15.76
buy_5_vol,34700
最新,15.8
均价,15.8
涨幅,10.03
涨跌,1.44
总手,27980
金额,44209032.0
换手,1.95
量比,0.46
最高,15.8
最低,15.8
今开,15.8
昨收,14.36
涨停,15.8
跌停,12.92
外盘,-
内盘,27980
