item,value
sell_5,1.98
sell_5_vol,330100
sell_4,1.97
sell_4_vol,460900
sell_3,1.96
sell_3_vol,346000
sell_2,1.95
sell_2_vol,295100
sell_1,1.94
sell_1_vol,1473500
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,1.94
均价,1.96
涨幅,-4.9
涨跌,-0.1
总手,817115
金额,160511086.0
换手,7.94
量比,1.04
最高,2.02
最低,1.94
今开,1.99
昨收,2.04
涨停,2.14
跌停,1.94
外盘,298378
内盘,518737
