item,value
sell_5,3.13
sell_5_vol,33300
sell_4,3.12
sell_4_vol,46800
sell_3,3.11
sell_3_vol,33300
sell_2,3.1
sell_2_vol,112400
sell_1,3.09
sell_1_vol,41743000
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,3.09
均价,3.09
涨幅,-4.92
涨跌,-0.16
总手,1618
金额,499962.0
换手,0.04
量比,0.04
最高,3.09
最低,3.09
今开,3.09
昨收,3.25
涨停,3.41
跌停,3.09
外盘,1618
内盘,-
