item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,7.92
buy_1_vol,3609600
buy_2,7.91
buy_2_vol,141600
buy_3,7.9
buy_3_vol,86500
buy_4,7.89
buy_4_vol,67300
buy_5,7.88
buy_5_vol,52800
最新,7.92
均价,7.79
涨幅,10.0
涨跌,0.72
总手,1985306
金额,1546265046.43
换手,22.16
量比,2.22
最高,7.92
最低,7.37
今开,7.5
昨收,7.2
涨停,7.92
跌停,6.48
外盘,961914
内盘,1023392
