item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,0.87
buy_1_vol,77437000
buy_2,0.86
buy_2_vol,3771800
buy_3,0.85
buy_3_vol,3265000
buy_4,0.84
buy_4_vol,2623400
buy_5,0.83
buy_5_vol,2738300
最新,0.87
均价,0.85
涨幅,10.13
涨跌,0.08
总手,5020839
金额,425636674.0
换手,6.06
量比,0.58
最高,0.87
最低,0.8
今开,0.84
昨收,0.79
涨停,0.87
跌停,0.71
外盘,3266220
内盘,1754619
