item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.38
buy_1_vol,3726400
buy_2,2.37
buy_2_vol,16600
buy_3,2.36
buy_3_vol,63400
buy_4,2.35
buy_4_vol,34900
buy_5,2.34
buy_5_vol,72000
最新,2.38
均价,2.36
涨幅,10.19
涨跌,0.22
总手,90095
金额,21218468.0
换手,1.58
量比,1.83
最高,2.38
最低,2.22
今开,2.22
昨收,2.16
涨停,2.38
跌停,1.94
外盘,28913
内盘,61182
