item,value
sell_5,0.23
sell_5_vol,1322700
sell_4,0.22
sell_4_vol,2737400
sell_3,0.21
sell_3_vol,6845100
sell_2,0.2
sell_2_vol,6962800
sell_1,0.19
sell_1_vol,338200
buy_1,0.18
buy_1_vol,4293200
buy_2,0.17
buy_2_vol,773700
buy_3,0.16
buy_3_vol,965100
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,0.19
均价,0.19
涨幅,-5.0
涨跌,-0.01
总手,302405
金额,5731034.64
换手,8.08
量比,1.07
最高,0.2
最低,0.18
今开,0.2
昨收,0.2
涨停,0.24
跌停,0.16
外盘,121164
内盘,181240
