item,value
sell_5,8.19
sell_5_vol,6000
sell_4,8.18
sell_4_vol,17700
sell_3,8.17
sell_3_vol,38100
sell_2,8.16
sell_2_vol,111400
sell_1,8.15
sell_1_vol,1987800
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,8.15
均价,8.32
涨幅,-5.01
涨跌,-0.43
总手,509997
金额,424123442.48
换手,12.4
量比,1.78
最高,8.55
最低,8.15
今开,8.5
昨收,8.58
涨停,9.01
跌停,8.15
外盘,208235
内盘,301762
