item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,22.31
buy_1_vol,1421700
buy_2,22.3
buy_2_vol,2100
buy_3,22.18
buy_3_vol,300
buy_4,22.11
buy_4_vol,2200
buy_5,22.06
buy_5_vol,600
最新,22.31
均价,21.57
涨幅,10.01
涨跌,2.03
总手,108190
金额,233376413.0
换手,18.37
量比,3.86
最高,22.31
最低,20.22
今开,20.22
昨收,20.28
涨停,22.31
跌停,18.25
外盘,51829
内盘,56361
