item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,2.5
buy_1_vol,963200
buy_2,2.49
buy_2_vol,81600
buy_3,2.48
buy_3_vol,115500
buy_4,2.47
buy_4_vol,20700
buy_5,2.46
buy_5_vol,23200
最新,2.5
均价,2.47
涨幅,5.04
涨跌,0.12
总手,57639
金额,14225716.0
换手,1.43
量比,0.94
最高,2.5
最低,2.41
今开,2.43
昨收,2.38
涨停,2.5
跌停,2.26
外盘,34425
内盘,23214
