item,value
sell_5,15.86
sell_5_vol,24000
sell_4,15.85
sell_4_vol,7300
sell_3,15.84
sell_3_vol,7900
sell_2,15.83
sell_2_vol,63500
sell_1,15.82
sell_1_vol,744700
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,15.82
均价,16.18
涨幅,-10.01
涨跌,-1.76
总手,569172
金额,920882639.0
换手,15.61
量比,0.93
最高,17.06
最低,15.82
今开,17.03
昨收,17.58
涨停,19.34
跌停,15.82
外盘,212057
内盘,357115
