item,value
sell_5,1.73
sell_5_vol,228700
sell_4,1.72
sell_4_vol,215800
sell_3,1.71
sell_3_vol,129100
sell_2,1.7
sell_2_vol,2775700
sell_1,1.69
sell_1_vol,160368900
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,1.69
均价,1.69
涨幅,-5.06
涨跌,-0.09
总手,980
金额,165620.0
换手,0.01
量比,-
最高,1.69
最低,1.69
今开,1.69
昨收,1.78
涨停,1.87
跌停,1.69
外盘,980
内盘,-
