item,value
sell_5,7.45
sell_5_vol,417700
sell_4,7.44
sell_4_vol,114300
sell_3,7.43
sell_3_vol,120200
sell_2,7.42
sell_2_vol,499900
sell_1,7.41
sell_1_vol,14867300
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,7.41
均价,7.57
涨幅,-9.96
涨跌,-0.82
总手,3738699
金额,2829516229.44
换手,37.21
量比,2.3
最高,7.97
最低,7.41
今开,7.8
昨收,8.23
涨停,9.05
跌停,7.41
外盘,1610860
内盘,2127839
