item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,6.8
buy_1_vol,14814600
buy_2,6.79
buy_2_vol,115900
buy_3,6.78
buy_3_vol,77300
buy_4,6.77
buy_4_vol,35300
buy_5,6.76
buy_5_vol,32800
最新,6.8
均价,6.8
涨幅,10.03
涨跌,0.62
总手,100065
金额,68044200.0
换手,1.61
量比,0.69
最高,6.8
最低,6.8
今开,6.8
昨收,6.18
涨停,6.8
跌停,5.56
外盘,-
内盘,100065
