item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,13.84
buy_1_vol,8777500
buy_2,13.83
buy_2_vol,1560800
buy_3,13.82
buy_3_vol,12000
buy_4,13.81
buy_4_vol,15600
buy_5,13.8
buy_5_vol,34200
最新,13.84
均价,13.84
涨幅,10.02
涨跌,1.26
总手,298235
金额,412757143.12
换手,3.92
量比,0.72
最高,13.84
最低,13.84
今开,13.84
昨收,12.58
涨停,13.84
跌停,11.32
外盘,-
内盘,298235
