item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,4.87
buy_1_vol,12516700
buy_2,4.86
buy_2_vol,1000
buy_3,4.85
buy_3_vol,9800
buy_4,4.82
buy_4_vol,100
buy_5,4.81
buy_5_vol,2300
最新,4.87
均价,4.74
涨幅,9.93
涨跌,0.44
总手,62354
金额,29555323.0
换手,2.64
量比,1.24
最高,4.87
最低,4.52
今开,4.56
昨收,4.43
涨停,4.87
跌停,3.99
外盘,35674
内盘,26680
