item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,1.5
sell_4_vol,3318600
sell_3,1.49
sell_3_vol,1121300
sell_2,1.48
sell_2_vol,753700
sell_1,1.47
sell_1_vol,146900
buy_1,1.46
buy_1_vol,973000
buy_2,1.45
buy_2_vol,409500
buy_3,1.44
buy_3_vol,121000
buy_4,1.43
buy_4_vol,113100
buy_5,1.42
buy_5_vol,425100
最新,1.47
均价,1.44
涨幅,8.09
涨跌,0.11
总手,387980
金额,55789678.82
换手,2.42
量比,1.58
最高,1.49
最低,1.37
今开,1.38
昨收,1.36
涨停,1.5
跌停,1.22
外盘,244868
内盘,143112
