item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,13.71
buy_1_vol,2899100
buy_2,13.7
buy_2_vol,65200
buy_3,13.69
buy_3_vol,1400
buy_4,13.68
buy_4_vol,29700
buy_5,13.67
buy_5_vol,2000
最新,13.71
均价,13.56
涨幅,10.03
涨跌,1.25
总手,147452
金额,199920851.0
换手,2.34
量比,1.19
最高,13.71
最低,13.21
今开,13.21
昨收,12.46
涨停,13.71
跌停,11.21
外盘,58186
内盘,89266
