item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,3.25
buy_1_vol,13944100
buy_2,3.24
buy_2_vol,400
buy_3,3.23
buy_3_vol,4000
buy_4,3.22
buy_4_vol,6100
buy_5,3.21
buy_5_vol,2200
最新,3.25
均价,3.18
涨幅,10.17
涨跌,0.3
总手,92566
金额,29456235.8
换手,1.82
量比,1.61
最高,3.25
最低,3.02
今开,3.02
昨收,2.95
涨停,3.25
跌停,2.66
外盘,50495
内盘,42071
