item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,19.01
buy_1_vol,4243100
buy_2,19.0
buy_2_vol,84600
buy_3,18.99
buy_3_vol,100
buy_4,18.98
buy_4_vol,900
buy_5,18.96
buy_5_vol,100
最新,19.01
均价,18.24
涨幅,10.01
涨跌,1.73
总手,1008026
金额,1838541369.35
换手,25.37
量比,2.66
最高,19.01
最低,17.13
今开,17.4
昨收,17.28
涨停,19.01
跌停,15.55
外盘,512846
内盘,495180
