item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,11.31
buy_1_vol,2134700
buy_2,11.3
buy_2_vol,319700
buy_3,11.29
buy_3_vol,400
buy_4,11.28
buy_4_vol,7300
buy_5,11.27
buy_5_vol,14000
最新,11.31
均价,11.3
涨幅,10.02
涨跌,1.03
总手,248686
金额,281086970.35
换手,9.68
量比,1.0
最高,11.31
最低,11.22
今开,11.22
昨收,10.28
涨停,11.31
跌停,9.25
外盘,22746
内盘,225940
