item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,1.13
buy_1_vol,2272100
buy_2,1.12
buy_2_vol,763500
buy_3,1.11
buy_3_vol,643100
buy_4,1.1
buy_4_vol,524600
buy_5,1.09
buy_5_vol,353400
最新,1.13
均价,1.13
涨幅,4.63
涨跌,0.05
总手,240664
金额,27080636.96
换手,3.23
量比,1.0
最高,1.13
最低,1.09
今开,1.1
昨收,1.08
涨停,1.13
跌停,1.03
外盘,91756
内盘,148908
