item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,9.07
buy_1_vol,275600
buy_2,9.06
buy_2_vol,66100
buy_3,9.01
buy_3_vol,4000
buy_4,9.0
buy_4_vol,4100
buy_5,8.97
buy_5_vol,10800
最新,9.07
均价,8.96
涨幅,4.98
涨跌,0.43
总手,62904
金额,56365167.12
换手,4.49
量比,1.3
最高,9.07
最低,8.46
今开,8.64
昨收,8.64
涨停,9.07
跌停,8.21
外盘,28484
内盘,34420
