item,value
sell_5,2.67
sell_5_vol,217400
sell_4,2.66
sell_4_vol,215500
sell_3,2.65
sell_3_vol,266600
sell_2,2.64
sell_2_vol,107900
sell_1,2.63
sell_1_vol,299900
buy_1,2.62
buy_1_vol,36200
buy_2,2.61
buy_2_vol,484400
buy_3,2.6
buy_3_vol,1467600
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,2.62
均价,2.67
涨幅,-4.38
涨跌,-0.12
总手,439113
金额,117131649.87
换手,4.18
量比,1.56
最高,2.73
最低,2.6
今开,2.69
昨收,2.74
涨停,2.88
跌停,2.6
外盘,173330
内盘,265782
