item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,6.68
buy_1_vol,13040300
buy_2,6.67
buy_2_vol,26400
buy_3,6.66
buy_3_vol,3300
buy_4,6.65
buy_4_vol,83800
buy_5,6.64
buy_5_vol,300
最新,6.68
均价,6.68
涨幅,10.05
涨跌,0.61
总手,51313
金额,34277084.0
换手,1.69
量比,0.81
最高,6.68
最低,6.68
今开,6.68
昨收,6.07
涨停,6.68
跌停,5.46
外盘,-
内盘,51313
