item,value
sell_5,14.63
sell_5_vol,10000
sell_4,14.62
sell_4_vol,24400
sell_3,14.61
sell_3_vol,10100
sell_2,14.6
sell_2_vol,115700
sell_1,14.59
sell_1_vol,107100
buy_1,14.58
buy_1_vol,556500
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,14.58
均价,14.89
涨幅,-10.0
涨跌,-1.62
总手,1126716
金额,1677719549.0
换手,20.93
量比,1.06
最高,15.88
最低,14.58
今开,15.72
昨收,16.2
涨停,17.82
跌停,14.58
外盘,463683
内盘,663033
