item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,33.82
buy_1_vol,724800
buy_2,33.81
buy_2_vol,18500
buy_3,33.8
buy_3_vol,29900
buy_4,33.79
buy_4_vol,8200
buy_5,33.78
buy_5_vol,1200
最新,33.82
均价,30.98
涨幅,20.01
涨跌,5.64
总手,802548
金额,2486481217.18
换手,40.02
量比,1.02
最高,33.82
最低,28.0
今开,28.36
昨收,28.18
涨停,33.82
跌停,22.54
外盘,425850
内盘,376697
