item,value
sell_5,5.51
sell_5_vol,30600
sell_4,5.5
sell_4_vol,141900
sell_3,5.49
sell_3_vol,50700
sell_2,5.48
sell_2_vol,84100
sell_1,5.47
sell_1_vol,1338500
buy_1,-
buy_1_vol,----------------------------------------------------------------------------------------------------
buy_2,-
buy_2_vol,----------------------------------------------------------------------------------------------------
buy_3,-
buy_3_vol,----------------------------------------------------------------------------------------------------
buy_4,-
buy_4_vol,----------------------------------------------------------------------------------------------------
buy_5,-
buy_5_vol,----------------------------------------------------------------------------------------------------
最新,5.47
均价,5.51
涨幅,-5.03
涨跌,-0.29
总手,446972
金额,246456692.0
换手,10.31
量比,0.88
最高,5.64
最低,5.47
今开,5.62
昨收,5.76
涨停,6.05
跌停,5.47
外盘,215162
内盘,231810
