item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,6.18
buy_1_vol,3496600
buy_2,6.17
buy_2_vol,41000
buy_3,6.15
buy_3_vol,800
buy_4,6.14
buy_4_vol,4700
buy_5,6.13
buy_5_vol,1800
最新,6.18
均价,5.95
涨幅,9.96
涨跌,0.56
总手,321987
金额,191681186.0
换手,2.15
量比,2.27
最高,6.18
最低,5.71
今开,5.8
昨收,5.62
涨停,6.18
跌停,5.06
外盘,166326
内盘,155661
