item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,47.19
buy_1_vol,56100
buy_2,47.18
buy_2_vol,18900
buy_3,47.16
buy_3_vol,3200
buy_4,47.15
buy_4_vol,11800
buy_5,47.11
buy_5_vol,3700
最新,47.19
均价,46.41
涨幅,10.0
涨跌,4.29
总手,425182
金额,1973287977.0
换手,12.56
量比,3.85
最高,47.19
最低,42.9
今开,43.0
昨收,42.9
涨停,47.19
跌停,38.61
外盘,205976
内盘,219206
